season,abbreviation,playoffs,x3p,x3p_percent,x3pa,pts
2004,DEN,1,331,0.336,985,7972
2004,DET,1,333,0.344,968,7388
2004,GSW,0,429,0.334,1283,7649
2004,HOU,1,515,0.366,1406,7362
2004,IND,1,449,0.351,1281,7493
2004,LAC,0,329,0.321,1024,7771
2004,LAL,1,365,0.327,1115,8052
2004,MEM,1,447,0.34,1314,7930
2004,MIA,1,485,0.357,1357,7402
2004,MIL,1,401,0.35,1145,8039
2004,MIN,1,326,0.363,897,7753
2004,NJN,1,377,0.336,1123,7401
2004,NOH,1,531,0.319,1666,7529
2004,NYK,1,406,0.364,1115,7542
2004,ORL,0,429,0.344,1248,7711
2004,PHI,0,339,0.342,992,7215
2004,PHO,0,415,0.345,1202,7723
2004,POR,0,381,0.346,1102,7440
2004,SAC,1,601,0.401,1498,8433
2004,SAS,1,408,0.358,1140,7501
2004,SEA,0,723,0.373,1936,7964
2004,TOR,0,461,0.356,1294,7006
2004,UTA,0,252,0.321,786,7271
2004,WAS,0,433,0.341,1269,7528
2003,ATL,0,402,0.352,1141,7714
2003,BOS,1,719,0.334,2155,7599
2003,CHI,0,349,0.35,997,7786
2003,CLE,0,293,0.327,896,7495
2003,DAL,1,636,0.381,1668,8444
2003,DEN,0,229,0.278,824,6901
2003,DET,1,533,0.358,1488,7492
2003,GSW,0,425,0.344,1235,8400
2003,HOU,0,439,0.346,1267,7688
2003,IND,1,379,0.339,1119,7940
2003,LAC,0,390,0.331,1178,7693
2003,LAL,1,486,0.356,1367,8230
2003,MEM,0,467,0.365,1279,7995
2003,MIA,0,348,0.316,1100,7016
2003,MIL,1,585,0.383,1526,8158
2003,MIN,1,296,0.368,804,8046
2003,NJN,1,346,0.332,1041,7820
2003,NOH,1,404,0.376,1075,7699
2003,NYK,0,606,0.383,1582,7860
2003,ORL,1,568,0.357,1590,8078
2003,PHI,1,245,0.311,787,7941
2003,PHO,1,394,0.343,1149,7834
2003,POR,1,379,0.33,1150,7803
2003,SAC,1,491,0.381,1288,8342
2003,SAS,1,449,0.354,1270,7856
2003,SEA,0,456,0.353,1291,7555
2003,TOR,0,409,0.343,1193,7453
2003,UTA,1,224,0.349,641,7762
2003,WAS,0,253,0.312,811,7502
2002,ATL,0,423,0.354,1194,7711
2002,BOS,1,699,0.359,1946,7901
2002,CHH,1,346,0.348,994,7700
2002,CHI,0,300,0.346,868,7335
2002,CLE,0,387,0.377,1026,7812
2002,DAL,1,621,0.378,1645,8629
2002,DEN,0,423,0.329,1285,7559
2002,DET,1,567,0.376,1509,7735
2002,GSW,0,320,0.322,994,8009
2002,HOU,0,496,0.335,1480,7572
2002,IND,1,405,0.339,1195,7938
2002,LAC,0,408,0.356,1147,7846
2002,LAL,1,510,0.354,1439,8304
2002,MEM,0,336,0.307,1096,7372
2002,MIA,0,312,0.347,899,7150
2002,MIL,0,593,0.375,1583,7996
2002,MIN,1,396,0.378,1047,8145
2002,NJN,1,403,0.338,1194,7889
2002,NYK,0,474,0.353,1344,7514
2002,ORL,1,620,0.373,1660,8240
2002,PHI,1,214,0.299,715,7461
2002,PHO,0,358,0.327,1096,7802
2002,POR,1,466,0.354,1318,7925
2002,SAC,1,426,0.367,1160,8578
2002,SAS,1,438,0.362,1211,7932
2002,SEA,1,489,0.378,1292,8014
2002,TOR,1,387,0.349,1109,7494
2002,UTA,1,280,0.333,842,7871
2002,WAS,0,305,0.388,786,7609
2001,ATL,0,333,0.357,933,7459
2001,BOS,0,592,0.363,1633,7759
2001,CHH,1,340,0.346,984,7539
2001,CHI,0,329,0.346,950,7181
2001,CLE,0,220,0.334,659,7561
2001,DAL,1,517,0.381,1357,8239
2001,DEN,0,512,0.355,1444,7918
2001,DET,0,389,0.35,1112,7837
2001,GSW,0,282,0.293,964,7584
2001,HOU,0,504,0.357,1412,7972
2001,IND,1,396,0.342,1159,7591
2001,LAC,0,360,0.339,1063,7581
2001,LAL,1,439,0.344,1275,8251
2001,MIA,1,478,0.345,1384,7289
